,Location ID,Place ID,Governorate,District,Location Name,Arabic Name,Latitude,Longitude,Families,Individuals,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salahal Din,Sulaymaniyah,Thi Qar,Wassit,Camp,Hostfamilies,Hotel Motel,Informalsettlements,Own Property,Other,Informalsettlements.1,Religiousbuilding,Rented pre Apr 2019,Religiousbuilding.1,Rented Habitable,Rented pre Apr 2019.1,Rented Uninhabitable,Rented Habitable.1,Schoolbuilding,Rented Uninhabitable.1,Unfinishedbuilding,Schoolbuilding.1,Unknownsheltertype,Unfinishedbuilding.1,Pre June14 Period of displacement,Unknownsheltertype.1,June July14 Period of displacement,Pre June14 Period of displacement.1,August14 Period of displacement,June July14 Period of displacement.1,Post September 14 Period of displacement,August14 Period of displacement.1,Post April15 Period of displacement,Post September 14 Period of displacement.1,Post March 16 Period of displacement,Post April15 Period of displacement.1,Post 17 October 16 Period of displacement,Post March 16 Period of displacement.1,July 17 Period of displacement,Post 17 October 16 Period of displacement.1,July 17 Period of displacement.1,Jan19,date
2340,2806007.0,20752.0,Salah al-Din,Samarra,Al_Jazera,مقاطعة 9 الجزيرة(الجزءالجنوبي),34.2462022137,43.660999,30.0,180.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2341,2806009.0,20675.0,Salah al-Din,Samarra,Al-Efraz area,حي الافراز,34.2058912106,43.9098703768,519.0,3114.0,5.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,14.0,0.0,433.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,70.0,5.0,0.0,344.0,5.0,27.0,344.0,143.0,27.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2342,2806010.0,20674.0,Salah al-Din,Samarra,Al-Hewaish area,قرية الحويش,34.1951516457,43.8074836694,100.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2343,2806011.0,20643.0,Salah al-Din,Samarra,Al-Jamiaa Area,حي الجامعة,34.2125670612,43.8995375857,417.0,2502.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,215.0,0.0,0.0,90.0,0.0,103.0,90.0,0.0,103.0,3.0,0.0,106.0,3.0,51.0,106.0,257.0,51.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2344,2806012.0,20633.0,Salah al-Din,Samarra,Al-Shuhadaa-Mahalla 324,حي الشهداءم(25-عرموشية)محلة 324,34.1902190633,43.9040939044,665.0,3990.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,513.0,0.0,0.0,15.0,0.0,127.0,15.0,0.0,127.0,19.0,0.0,251.0,19.0,60.0,251.0,335.0,60.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2345,2806013.0,20649.0,Salah al-Din,Samarra,Al-Sikak-111,حي السكك(الشرقية)محلة 111,34.1911437549,43.8847661577,577.0,3462.0,23.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,74.0,23.0,0.0,82.0,23.0,213.0,82.0,259.0,213.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2346,2806014.0,22580.0,Salah al-Din,Samarra,Hay Al Baladiya-104,م ق سامراء حي ابن سينا محلة 104,34.2042941647,43.8887085021,505.0,3030.0,5.0,1.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,477.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,0.0,444.0,0.0,0.0,16.0,0.0,40.0,16.0,0.0,40.0,5.0,0.0,215.0,5.0,124.0,215.0,161.0,124.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2347,2806015.0,22474.0,Salah al-Din,Samarra,Hay Al Dhubbat-Mahalla 334,حي الضباط م(25-عرموشية)محلة 334,34.1930698743,43.8913850952,346.0,2076.0,3.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,207.0,0.0,0.0,139.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,109.0,0.0,76.0,109.0,161.0,76.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2348,2806016.0,22584.0,Salah al-Din,Samarra,Hay Al Dubhat-Mahalla 336,حي الضباط م(25-عرموشية)محلة 336,34.192828266,43.8985854015,467.0,2802.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,322.0,0.0,0.0,145.0,0.0,0.0,145.0,0.0,0.0,3.0,0.0,221.0,3.0,66.0,221.0,177.0,66.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2349,2806017.0,25519.0,Salah al-Din,Samarra,Hay Al Gatol-Albu Nisan,حي القاطول-البو نيسان,34.1947211092,43.8682232145,545.0,3270.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,60.0,307.0,178.0,60.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
