id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
216804,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Al Jazeera English,2016-03-30,Fallujah crisis: 'We are being left to slow death'""",Al Jazeera English,2016-03-30,Fallujah crisis: 'We are being left to slow death',medical sources ,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,1,2016-03-30,2016-03-30,0,0,1,0,1,1,1
217989,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Airwars,2016-03-31,March 30th-31st 2016: Hit, Anbar province, Iraq""",Airwars,2016-03-31,"March 30th-31st 2016: Hit, Anbar province, Iraq",Local sources,1,Hīt town,Al Anbār province,Hīt district,33.636636,42.827683,POINT (42.827683 33.636636),178286,Iraq,645,IRQ,Middle East,1,1,2016-03-30,2016-03-30,0,0,1,0,1,1,1
218803,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Associated Press Newswires,2016-04-01,Trapped civilians stall Iraqi forces battling IS in Anbar""",Associated Press Newswires,2016-04-01,Trapped civilians stall Iraqi forces battling IS in Anbar,IS,3,Qaḑā’ al Mawşil,Nīnawá province,Qaḑā’ al Mawşil,36.4,43.2,POINT (43.200000 36.400000),181887,Iraq,645,IRQ,Middle East,1,1,2016-03-31,2016-03-31,11,2,0,0,13,13,13
250716,2016,1,2016,2016,3,506,IS - Civilians,973,IS - Civilians,234,,IS,1,,Civilians,1,"""UNAMI,2017-01-22,Report on the Protection of Civilians in the Armed Conflict in Iraq: 1 November 2015 – 30 September 2016""",UNAMI,2017-01-22,Report on the Protection of Civilians in the Armed Conflict in Iraq: 1 November 2015 – 30 September 2016,UN,1,Mosul town,Nīnawá province,Qaḑā’ al Mawşil,36.335,43.118889,POINT (43.118889 36.335000),181887,Iraq,645,IRQ,Middle East,1,1,2016-03-30,2016-03-30,0,0,15,0,15,15,15
217996,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Airwars,1753-01-01,March 31st 2016: Falluhah, Anbar province, Iraq""",Airwars,1753-01-01,"March 31st 2016: Falluhah, Anbar province, Iraq",Local sources,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,1,2016-03-31,2016-03-31,0,0,0,0,0,0,5
218558,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,2,"""Al Jazeera English,2016-04-01,Iraqi special forces lead march on ISIL-controlled Heet"";""Al Jazeera English,2016-04-01,Trapped civilians stall Iraqi ISIL offensive""",Al Jazeera English;Al Jazeera English,2016-04-01;2016-04-01,Iraqi special forces lead march on ISIL-controlled Heet;Trapped civilians stall Iraqi ISIL offensive,military sources,2,Hīt town,Al Anbār province,Hīt district,33.636636,42.827683,POINT (42.827683 33.636636),178286,Iraq,645,IRQ,Middle East,1,1,2016-03-31,2016-03-31,8,1,0,0,9,9,9
218799,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Al Jazeera English,2016-04-01,Iraqi special forces lead march on ISIL-controlled Heet""",Al Jazeera English,2016-04-01,Iraqi special forces lead march on ISIL-controlled Heet,Military sources,2,Al Habbaniya town,Al Anbār province,Qaḑā’ ar Ramādī,33.383601,43.585462,POINT (43.585462 33.383601),177568,Iraq,645,IRQ,Middle East,1,1,2016-04-01,2016-04-01,7,0,0,0,7,7,7
218801,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""BBC Monitoring Middle East,2016-04-01,Iraq forces kill 60 Islamic State militants, advance to ""liberate"" Hit - website""",BBC Monitoring Middle East,2016-04-01,"Iraq forces kill 60 Islamic State militants, advance to ""liberate"" Hit - website",Head of Hit's Provincial Council Mohammad Mohannad Al-Hiti ,1,Hīt town,Al Anbār province,Hīt district,33.636636,42.827683,POINT (42.827683 33.636636),178286,Iraq,645,IRQ,Middle East,1,1,2016-04-01,2016-04-01,0,60,0,0,60,60,60
250837,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""UNAMI,2017-01-22,Report on the Protection of Civilians in the Armed Conflict in Iraq: 1 November 2015 – 30 September 2016""",UNAMI,2017-01-22,Report on the Protection of Civilians in the Armed Conflict in Iraq: 1 November 2015 – 30 September 2016,UN,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,1,2016-04-01,2016-04-01,0,0,4,0,4,4,4
219109,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Associated Press Newswires,2016-04-05,Iraqi forces face heavy resistance in IS-held town""",Associated Press Newswires,2016-04-05,Iraqi forces face heavy resistance in IS-held town,Gen. Husham al-Jabri (Iraqi military),1,Hīt town,Al Anbār province,Hīt district,33.636636,42.827683,POINT (42.827683 33.636636),178286,Iraq,645,IRQ,Middle East,1,2,2016-04-01,2016-04-05,0,10,0,0,10,10,10
